[2023-06-09 07:56:11,678] ================================================================ (start)
[2023-06-09 07:56:12,639] * Configuring JetBrains YouTrack 2023.1 
[2023-06-09 07:56:12,650] * Made default base-url 'http://localhost:8080/' from hostname 'localhost' and listen port '8080' 
[2023-06-09 07:56:12,672] * JetBrains YouTrack 2023.1 runtime environment is successfully configured 
[2023-06-09 07:56:12,776] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2023-06-09 07:56:12,778] * Redirecting JetBrains YouTrack 2023.1 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2023-06-09 07:56:13,074] * Configuring Service-Container[bundleProcess] 
[2023-06-09 07:56:13,085] * Configuring Bundle Backend Service 
[2023-06-09 07:56:13,096] * Configuring Configuration Wizard 
[2023-06-09 07:56:13,139] * Starting Service-Container[bundleProcess] 
[2023-06-09 07:56:13,312] * Starting Bundle Backend Service 
[2023-06-09 07:56:15,088] * Starting Configuration Wizard 
[2023-06-09 07:56:15,089] * JetBrains YouTrack 2023.1 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>//?wizard_token=ZCy2284FNCcnTAczt8mq] 
[2023-06-09 07:58:23,557] ================================================================ (start)
[2023-06-09 07:58:24,442] * Configuring JetBrains YouTrack 2023.1 
[2023-06-09 07:58:24,444] * JetBrains YouTrack 2023.1 runtime environment is successfully configured 
[2023-06-09 07:58:24,527] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2023-06-09 07:58:24,529] * Redirecting JetBrains YouTrack 2023.1 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2023-06-09 07:58:24,804] * Configuring Service-Container[bundleProcess] 
[2023-06-09 07:58:24,814] * Configuring Bundle Backend Service 
[2023-06-09 07:58:24,815] * Configuring Configuration Wizard 
[2023-06-09 07:58:24,846] * Starting Service-Container[bundleProcess] 
[2023-06-09 07:58:25,009] * Starting Bundle Backend Service 
[2023-06-09 07:58:26,328] * Starting Configuration Wizard 
[2023-06-09 07:58:26,329] * JetBrains YouTrack 2023.1 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>//?wizard_token=PHj01g1iZ7a5Uv30wvhE] 
[2023-06-09 12:53:40,461] ================================================================ (start)
[2023-06-09 12:53:41,508] * Configuring JetBrains YouTrack 2023.1 
[2023-06-09 12:53:41,509] * JetBrains YouTrack 2023.1 runtime environment is successfully configured 
[2023-06-09 12:53:41,581] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2023-06-09 12:53:41,582] * Redirecting JetBrains YouTrack 2023.1 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2023-06-09 12:53:42,019] * Configuring Service-Container[bundleProcess] 
[2023-06-09 12:53:42,030] * Configuring Bundle Backend Service 
[2023-06-09 12:53:42,052] * Configuring Starting Page Service 
[2023-06-09 12:53:42,063] * Configuring YouTrack Configurator 
[2023-06-09 12:53:42,075] * Configuring Hub 
[2023-06-09 12:53:42,268] * Configuring Bundle Hub Configurator 
[2023-06-09 12:53:42,269] * Configuring YouTrack 
[2023-06-09 12:53:42,442] * Starting Service-Container[bundleProcess] 
[2023-06-09 12:53:42,595] * Starting Bundle Backend Service 
[2023-06-09 12:53:43,927] * Starting Starting Page Service 
[2023-06-09 12:53:43,927] * JetBrains YouTrack 2023.1 will listen inside container on {0.0.0.0:8080}/bundle/starting after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>/bundle/starting] 
[2023-06-09 12:53:44,487] * Starting YouTrack Configurator 
[2023-06-09 12:53:45,292] * Starting Hub 
[2023-06-09 12:53:57,286] * Starting Bundle Hub Configurator 
[2023-06-09 12:53:59,566] * Starting YouTrack 
[2023-06-09 12:54:01,540] 12:54:01,525 INFO  [@init servlet   ] [Reflections                   ] [init@] Reflections took 823 ms to scan 38 urls, producing 1859 keys and 68101 values
[2023-06-09 12:54:05,400]  12:54:05,390 INFO  [@init servlet   ] [Reflections                   ] [init@] Reflections took 726 ms to scan 39 urls, producing 1890 keys and 68045 values
[2023-06-09 12:54:07,995]  12:54:07,991 INFO  [@init servlet   ] [WebClasspathXmlServiceLocator ] [init@] Adding default placeholder resolver: PropertySourcesPlaceholderConfigurer
[2023-06-09 12:54:14,000]  12:54:13,991 INFO  [@init servlet   ] [MessagesContainer             ] [init@] Default locale messages loaded
[2023-06-09 12:54:15,927]  12:54:15,925 INFO  [@init servlet   ] [Reflections                   ] [init@] Reflections took 887 ms to scan 38 urls, producing 1923 keys and 109532 values
[2023-06-09 12:54:17,034]  12:54:17,026 INFO  [@init servlet   ] [EnvironmentImpl               ] [init@] Exodus environment created: /opt/youtrack/data/youtrack
[2023-06-09 12:54:17,786]  12:54:17,784 INFO  [@init servlet   ] [PersistentEntityStoreImpl     ] [init@] Blob vault has been created at /opt/youtrack/data/youtrack/blobs
[2023-06-09 12:54:19,018]  12:54:19,011 INFO  [@init servlet   ] [EnvironmentImpl               ] [init@] Exodus environment created: /opt/youtrack/data/youtrack/textindex
[2023-06-09 12:54:19,498]  12:54:19,490 INFO  [@init servlet   ] [DnqUtils                      ] [init@] Execute entities initializers
[2023-06-09 12:54:19,509]  12:54:19,502 INFO  [@init servlet   ] [YouTrackInit                  ] [init@] Initializing YouTrack 2023.1.10168
[2023-06-09 12:54:19,511]  12:54:19,503 INFO  [@init servlet   ] [ApplicationStateHolderImpl    ] [init@] Application state changed from SPRING_STARTING to SPRING_INITIALIZED
[2023-06-09 12:54:19,525]  12:54:19,521 WARN  [@init servlet   ] [XdStorage                     ] [init@] Auxiliary truststore /opt/youtrack/conf/internal/keystore.jks does not exist, skipping
[2023-06-09 12:54:19,562]  12:54:19,554 INFO  [@init servlet   ] [ApplicationStateHolderImpl    ] [init@] Application state changed from SPRING_INITIALIZED to LOCALIZATION_SERVICE_INITIALIZED
[2023-06-09 12:54:19,818]  12:54:19,801 INFO  [@init servlet   ] [security                      ] [init@] User group Registered Users created
[2023-06-09 12:54:20,016]  12:54:20,012 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Creating localized default saved search "Assigned to me", query: for: me 
[2023-06-09 12:54:20,017]  12:54:20,015 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Updating localized default saved search "Assigned to me", share groups:  -> All Users
[2023-06-09 12:54:20,039]  12:54:20,034 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Creating localized default saved search "Commented by me", query: commenter: me 
[2023-06-09 12:54:20,040]  12:54:20,035 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Updating localized default saved search "Commented by me", share groups:  -> All Users
[2023-06-09 12:54:20,051]  12:54:20,045 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Creating localized default saved search "Reported by me", query: by: me 
[2023-06-09 12:54:20,053]  12:54:20,046 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Updating localized default saved search "Reported by me", share groups:  -> All Users
[2023-06-09 12:54:20,055]  12:54:20,051 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Creating localized default saved search "All issues", query: document type: Issue 
[2023-06-09 12:54:20,056]  12:54:20,052 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Updating localized default saved search "All issues", share groups:  -> All Users
[2023-06-09 12:54:20,067]  12:54:20,060 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Creating localized default saved search "All tickets", query: document type: Ticket 
[2023-06-09 12:54:20,068]  12:54:20,062 INFO  [@init servlet   ] [DefaultSavedQueryProvider     ] [@] Updating localized default saved search "All tickets", share groups:  -> All Users
[2023-06-09 12:54:20,070]  12:54:20,066 INFO  [@init servlet   ] [security                      ] [@] User admin (admin) is now root
[2023-06-09 12:54:20,111]  12:54:20,104 INFO  [@init servlet   ] [security                      ] [@] Assigned to me[XdSavedQuery wrapper for SavedQuery: id = 7-0] for user search_user_535934745[79-0] created
[2023-06-09 12:54:20,112]  12:54:20,109 INFO  [@init servlet   ] [security                      ] [@] Commented by me[XdSavedQuery wrapper for SavedQuery: id = 7-1] for user search_user_535934745[79-0] created
[2023-06-09 12:54:20,124]  12:54:20,112 INFO  [@init servlet   ] [security                      ] [@] Reported by me[XdSavedQuery wrapper for SavedQuery: id = 7-2] for user search_user_535934745[79-0] created
[2023-06-09 12:54:20,125]  12:54:20,114 INFO  [@init servlet   ] [security                      ] [@] All issues[XdSavedQuery wrapper for SavedQuery: id = 7-3] for user search_user_535934745[79-0] created
